FoldNumber,PredictedOutput,ActualOutput,Confidence
1,0,0,0.344992849067
8,0,0,0.00691671023628
8,1,0,0.999989005215
2,1,0,0.993231097472
17,0,0,0.0621174572875
5,0,0,0.0022086165506
7,0,0,0.128893853893
4,1,0,0.999996216453
9,1,0,0.998823313719
18,0,0,0.083039100679
11,0,0,0.000201093223749
10,0,0,0.0602061839788
19,0,0,0.0366112708915
7,0,0,0.000351581582088
4,0,0,0.0398535400077
4,0,0,0.00145581584881
10,0,0,0.0642540757633
6,0,0,0.241908509608
1,0,0,1.59670096433e-05
9,1,0,0.999987926416
11,1,0,0.999719747144
8,0,0,0.0661175853981
10,0,0,0.0121522093475
8,0,0,0.0021529933953
19,0,0,5.57242586582e-05
18,0,0,0.0240381517169
5,1,0,0.599284596391
12,0,0,0.0077398640521
20,0,0,0.270157172023
11,0,0,0.000333715594686
2,0,0,0.00770173260916
10,0,0,5.76813761827e-05
13,0,0,0.00596618039598
20,1,0,0.994818656668
19,0,0,0.0838862572305
11,1,0,0.975215455718
3,0,0,0.0291490784693
17,0,0,0.000324298436025
15,0,0,3.50527922856e-05
16,0,0,0.00129891362849
18,0,0,0.00730356623795
16,0,0,1.4799986351e-05
16,0,0,1.19651061262e-06
8,0,0,2.13396587801e-05
12,1,0,0.530095094599
13,0,0,0.149271898938
16,0,0,0.0652169303174
1,0,0,0.176867374739
3,0,0,0.0150689790529
18,0,0,0.0712848148454
8,0,0,6.13372257389e-05
3,0,0,6.10732563074e-05
12,0,0,0.0320138569549
9,0,0,0.0353616428923
9,0,0,0.0353616428923
1,0,0,0.199505272263
5,0,0,0.194987296502
3,0,0,0.0370412232152
2,0,0,0.00157785692642
14,0,0,0.0031633834165
17,0,0,0.000399674177894
17,0,0,0.000399674177894
12,0,0,0.00618018957159
10,0,0,0.0168324817552
19,0,0,0.00281428507448
3,0,0,0.0070218135478
3,0,0,6.52520112695e-06
7,0,0,1.18453308193e-05
4,0,0,1.42888073458e-05
2,0,0,0.000169143315302
3,0,0,0.176860542692
7,0,0,4.54966192344e-06
15,0,0,0.000443285826045
7,0,0,7.11936795239e-05
17,0,0,0.000160439272609
6,0,0,0.393896106364
17,0,0,0.000705222422707
12,0,0,0.0238659683891
12,0,0,0.0162520998416
10,0,0,0.0229382672281
11,0,0,0.00803258029548
13,0,0,0.0788101109686
19,0,0,0.139252989238
19,0,0,0.139252989238
8,0,0,0.0401271954273
16,0,0,0.0393989432134
6,0,0,0.095347809119
8,0,0,0.19111951369
1,0,0,0.00434242950866
2,0,0,0.000559092264047
2,0,0,0.000559092264047
3,0,0,0.00575887961328
9,0,0,0.000454436337166
14,0,0,0.000824072447874
14,0,0,0.0243270776478
13,0,0,0.00145506216936
14,0,0,0.133611418229
15,0,0,0.101228382294
6,0,0,0.220861678886
5,0,0,0.000280637976412
9,0,0,0.00168241692862
2,0,1,0.295941808756
11,1,1,0.999968052596
18,1,1,0.520612257414
6,1,1,0.926573130292
1,0,1,0.413615865203
13,1,1,0.865443274172
18,1,1,0.829401596749
7,1,1,0.985867996796
11,1,1,0.985111609973
5,1,1,0.619964256233
9,1,1,0.78921716497
6,1,1,0.845521732391
3,1,1,0.740459866945
7,1,1,0.902230763696
12,1,1,0.999614052534
9,1,1,0.931798691839
15,1,1,0.881122137887
6,1,1,0.932244322539
14,1,1,0.810612622685
5,1,1,0.95432333298
15,1,1,0.998732783685
8,1,1,0.746118410669
15,1,1,0.989575099339
7,1,1,0.711297992528
16,1,1,0.971302790064
16,1,1,0.876144040816
11,1,1,0.529759891603
6,1,1,0.999241342442
19,1,1,0.971865757461
12,1,1,0.991543507808
11,1,1,0.991744985178
1,1,1,0.87192529112
3,1,1,0.998628111051
17,1,1,0.996713628049
20,1,1,0.99945997831
18,1,1,0.99237281294
2,1,1,0.999935029285
14,1,1,0.998867439194
15,1,1,0.996674162654
10,1,1,0.99998374508
2,1,1,0.999992437215
12,1,1,0.869536267231
19,1,1,0.995441000393
9,1,1,0.999995520654
1,1,1,0.999992811434
16,1,1,0.99999626624
15,1,1,0.999949233569
7,1,1,0.998810573298
9,1,1,0.997943443469
10,1,1,0.999995345891
2,1,1,0.999999955044
1,1,1,0.990947817865
6,1,1,0.999656449464
16,1,1,0.763382235932
19,1,1,0.71521769469
14,1,1,0.996864701917
20,1,1,0.833738026163
4,1,1,0.666930346629
4,1,1,0.666930346629
17,0,1,0.49426259806
5,1,1,0.9896308411
14,1,1,0.978673395521
15,1,1,0.82434671869
13,0,1,0.423336851975
16,1,1,0.889149351725
10,1,1,0.996825226582
4,1,1,0.993675972039
17,1,1,0.965443998084
10,1,1,0.999214954147
5,1,1,0.805881506245
4,1,1,0.996867296103
4,1,1,0.835759855841
4,1,1,0.515371711667
18,1,1,0.667204957591
18,1,1,0.667204957591
13,1,1,0.70521733778
7,1,1,0.999995017766
4,1,1,0.992275651021
5,1,1,0.942991201568
14,1,1,0.999997087644
8,1,1,0.999981507918
11,1,1,0.999974444305
14,1,1,0.862904214275
1,0,1,0.133293362043
10,1,1,0.862838647806
5,1,1,0.999999714903
18,1,1,0.999999385309
19,1,1,0.999994024498
19,1,1,0.999994024498
15,1,1,0.999996824937
20,1,1,0.999999906557
6,1,1,0.999999420892
2,1,1,0.999999058315
13,1,1,0.995972330636
5,1,1,0.885782154797
11,0,1,0.480189667945
14,1,1,0.655840528803
9,1,1,0.563775244915
17,1,1,0.723470988924
12,0,1,0.464301815526
13,1,1,0.858859557899
20,1,1,0.999629694906
17,1,1,0.999845742664
1,1,1,0.998778288809
15,1,1,0.99976764341
12,1,1,0.996818388405
3,1,1,0.999899114551
8,1,1,0.999701030777
18,1,1,0.998474508816
6,1,1,0.974232965638
13,1,1,0.954570948203
7,1,1,0.765238757231
16,1,1,0.970482048696
13,1,1,0.700681329302
